Music,Lyrics,Time,Views
Rogério,['Você não sabe como é ruim Desejo pra ninguém Viver nesse calor infernal E todo mundo te usar Como garoto propaganda pra todo mal que existe nesse mundo Será que alguém me entende? Mesmo eu sendo um camundongo Em meio de serpentes Ninguém me convidou Eu quero subir e já chegar chegando Na festa dos que já acham que vão subir pro céu Só pra ver geral caindo de tobogã Você não sabe como é legal Viver com 7 bilhões de dedos apontados na tua cara E todo mundo te odiar Em nome do amor e todo bem que existe nesse mundo Será que alguém me ouve Mesmo eu sendo um espantalho Dentro dessa creche Ninguém me convidou Eu quero subir e já chegar chegando Na festa dos que já acham que vão subir pro céu Só pra ver geral caindo de tobogã Eu quero um pouco de atenção Já sofri demais amassando o pão Nada justifica o ódio Eu quero subir e arrombar a porta Na festa dos que já acham que vão subir pro céu (Só pra ver geral caindo) Na festa dos que já acham que vão subir pro céu Só pra ver geral caindo.'],215,2478272
Lentes (Part. Negra Li),['Se você quer parar Estagnar Quer interromper Deixa eu carrego na garupa da minha bicicleta Se a porta fechar Boca calar E o mundo ficar pequeno demais Intercâmbio pra outro planeta Eu quero ver o que as lentes vão mostrar Eu quero ver o pôr do sol em Okinawa Escalar o Monte Fuji só pra degustar as luzes acesas Quero ver seus olhos a se esticar O samurai com a sua velha katana Quando chegar em casa é só revelar Se você quer mudar Evoluir Reescrever todos os versos A música move montanhas Vejo pessoas que só reclamam E nunca estão olhando pra frente Eu não pertenço a esse mundo Não Eu quero ver o que as lentes vão mostrar Eu quero ver o pôr do sol em Okinawa Escalar o Monte Fuji só pra degustar as luzes acesas Quero ver seus olhos a se esticar O samurai com a sua velha katana Quando chegar em casa é só revelar Assistir e recomeçar (ahhh) É O movimento é a vida A vida segue seus planos O ruído da paisagem milenar que eu amo Dúvidas e certezas Minha escolha é ser verdadeira Meus segredos Meu destino Eu quero é ser inteira Eu quero ver o que as lentes vão mostrar Eu quero ver o pôr do sol em Okinawa Escalar o Monte Fuji só pra degustar as luzes acesas Quero ver seus olhos a se esticar O samurai com a sua velha katana Quando chegar em casa é só revelar'],197,275182
Matagal,['É eu temo que sim Chegou um novo dia agora é acordar Pisar com o pé esquerdo e cair no chão Ligar pra ambulância e ficar feliz E eu espero que não A gente não precisa ir comemorar Sentar em um boteco às 6 da manhã Jogar conversa pra quem não quer te ouvir Eu gostava de quando era um bebê Não tinha que pensar E sempre tinha alguém ali pra me limpar Eu sei que o mundo inteiro está errado (Eu sempre soube) Me deixa ter meu próprio universo (Tudo invertido) Um matagal no meio do oceano'],128,497986
Campo de Força,"['Penso em você Tento te ajudar Mas seu campo de força não me deixa entrar Para de esconder Se a ponta do iceberg já é maior do que o Everest Imagina a raiz E tudo o que tem por lá Enterrado, soterrado embaixo do chão Você faz coleção do que eu tento evitar Você faz coleção Você faz promoção do que eu quero me livrar Você faz promoção até acabar A felicidade é de quem não se importa De ligar o ""F"" pro mundo inteiro Preservando a matriz Com todos os Zeros e Ums empilhados Encranhados na programação Você faz coleção do que eu tento evitar Você faz coleção (Você não deixa eu entrar) Você faz promoção (Você não deixa eu entrar) Do que eu quero me livrar (Você não deixa eu entrar) Você faz promoção até Você não precisa se fechar (Deixa eu te salvar) Seu campo de força não me deixa entrar Você não precisa se fechar (Deixa eu entrar) Seu campo de força não me deixa entrar Você faz coleção do que eu tento evitar Você faz Você faz promoção do que eu quero me livrar Você faz promoção até acabar']",219,168812
Piloto Automático,"['Eu nunca fiz questão de estar aqui Muito menos participar E ainda acho que o meu cotidiano Vai me largar Um dia eu vou morrer Um dia eu chego lá E eu sei que o piloto automático Vai me levar Eu devia sorrir mais Abraçar meus pais Viajar o mundo e socializar Nunca reclamar Só agradecer Tudo o que vier eu fiz por merecer Eu devia sorrir mais Abraçar meus pais Viajar o mundo e socializar Nunca reclamar Só agradecer Fácil de falar, difícil fazer Quase toda vez que eu vou dormir Não consigo relaxar Até parece que meus travesseiros pesam Uma tonelada. Eu devia sorrir mais Abraçar meus pais Viajar o mundo e socializar Nunca reclamar Só agradecer Tudo o que vier eu fiz por merecer Eu devia sorrir mais Abraçar meus pais Viajar o mundo e socializar Nunca reclamar Só agradecer Fácil de falar, difícil fazer Eu nunca fiz questão de existir Não queria incomodar Um dia eu acho um jeito de aparecer E você notar Você notar, você notar (Você notar, você notar)']",217,47085674
Menino,"['Menino foi pro mato brincar com os seu irmãos Furou o pé, ralou a mão Menino da cidade não sabe andar descalço Não sabe respirar De onde menino vem Os carros levam as pessoas pra passear O sol é cinza, o mar esgoto O sol é cinza, o mar esgoto Menino Menino Sai desse corpo que não te penteia O sol é cinza, o mar esgoto Sai desse corpo que não te penteia']",161,619058
Sol da Manhã,"['Como eu adoro esses fogos embelezando o céu Eu quase me esqueço que você tá do meu lado Exigindo atenção Que hoje está em falta Eu sou assim Me distraio facilmente: ""Olha lá o avião"" Enquanto você me espera no escuro Eu aproveito pra tomar um sol da manhã Sei que o clima tá tenso e eu to rindo Não consigo evitar enxergar o que é bom As luzes refletem no seu rosto tirando a minha concentração Enquanto você se alimenta de ódio Me preparo pra juntar os teus pedaços É sempre assim Me distraio, me distraio Me distraio facilmente: ""Olha lá o avião"" Enquanto você me espera no escuro Eu aproveito pra tomar um sol da manhã Sei que o clima tá tenso e eu to rindo (Não reclama, eu preciso, me espera, eu preciso) Não consigo evitar enxergar o que é bom (Eu reclamo mas preciso de você) Enquanto você me espera no escuro Eu aproveito pra tomar um sol da manhã Sei que o clima tá tenso e eu to rindo Não consigo evitar enxergar o que é bom (Não consigo evitar enxergar)']",251,1361894
O Peso da Cruz,"['Todos de pé, podem sentar Não tem como fugir agora é só rezar Bota pra fora, se salve por dentro Todos aqui já querem almoçar Não sei se você já sabe, estão comentando por aí Se é pra sair atirando, coloca um silenciador Sem provas, nem testemunhas A tua própria defesa não quis te ajudar Acha mesmo que você é inocente com tanto karma pra pagar? Não sei se você já sabe, estão comentando por aí Que você sai atirando e não usa silenciador Com seus conselhos quebrados O peso do mundo pesa ainda mais Não sei se você já sabe, estão comentando por aí Quando você abre a boca as suas palavras causam dor Com seus conselhos quebrados O peso do mundo pesa ainda mais Tire os joelhos do banco, erga seu corpo e não volte mais']",225,607591
Ela,"['Sopro as velas como quem não quer ver apagar Eu sempre soube muito bem aonde isso vai dar Toda vez que ganho uma, perco duas Toda vez ela me estica e me puxa Ela vai me acorrentar na areia e esperar a razão me devorar Quanto mais me afundo mais difícil de escapar Nadar até a superfície e te alcançar Eu não suporto esses balões E nem os ""com quem será"" E eu nem conheço a maioria das pessoas Toda vez que ganho uma, perco duas Toda vez ela me estica e me puxa Ela vai me acorrentar na areia e esperar a razão me devorar Quanto mais me afundo mais difícil de escapar Nadar até a superfície e te alcançar Ela vai me acorrentar na areia e esperar a razão me devorar Quanto mais Mais difícil de escapar Nadar até a superfície e te alcançar']",204,1041412
Fundo do Mar,"['Ai mais uma pane no painel Quem mandou abrir as escotilhas No fundo do mar Só reclama quem não sabe esperar Fica a mercê de toda a opressão Que te impede de ser teu oxigênio Afundo com a tripulação Sem fazer nada, sem fazer nada Água nos meus pés, sonar no dez Sem ouvir nada, sem ouvir nada Atiro os torpedos no que se mover no radar Sempre finjo que o alarme não tocou Só pra ninguém ver Que eu já me afoguei há muito tempo Somos um eco do que imaginamos ser']",202,739480
